학습자료명,페이지 번호,키워드명,파일명,목차명,확장자명,출처명,홈페이지주소,작성일자,데이터기준일자,제공기관코드,제공기관명
"근친혼, 노비안검법, 과거제도",,근친혼;노비안검법;과거제도;왕권;호족 포용 정책;결혼;왕족 결혼;왕권 강화;광종;노비;양민;권력;초등학교 5학년 사회 다양한 문화를 꽃피운 고려;초5 사회 다양한 문화를 꽃피운 고,,,,,https://www.edunet.net/contsMvGllry/view/152/1996057,,2025-04-21,B550629,한국교육학술정보원
"거란의 침입과 서희, 강감찬의 활약",,거란;고려;서희;양규;강감찬;초등 5학년 2학기 사회; 사회 5학년 2학기;초5 사회;세계와 활발하게 교류한 고려;거란;고려;서희;양규;강감찬,,,,,https://www.edunet.net/contsMvGllry/view/152/2048829,,2025-04-21,B550629,한국교육학술정보원
몽골의 침략과 고려의 저항,,몽골;고려;무신정권;삼별초;초등 5학년 2학기 사회; 사회 5학년 2학기;초5 사회;세계와 활발하게 교류한 고려;몽골;고려;무신정권;삼별초;몽골의 침략;민초,,,,,https://www.edunet.net/contsMvGllry/view/152/2048830,,2025-04-21,B550629,한국교육학술정보원
고려청자와 상감기법,,고려청자;고려의 기술;상감기법;고려의 과학과 기술;상형청자;고려 도자기 제작기술;상감기법 기원;다양한 문화를 꽃피운 고려;초등학교 5학년 사회 다양한 문화를 꽃피운 고려;초5 사회,,,,,https://www.edunet.net/contsMvGllry/view/152/89309,,2025-04-21,B550629,한국교육학술정보원
금속활자와 목판인쇄술,,금속활자;목판인쇄술;팔만대장경;팔만대장경 제작 과정;해인사;금속활자 만드는 과정;직지심체요절;직지;흥덕사;밀랍주조법;초등학교 5학년 사회 다양한 문화를 꽃피운 고려;초5 사회 다양,,,,,https://www.edunet.net/contsMvGllry/view/152/1984038,,2025-04-21,B550629,한국교육학술정보원
관례(冠禮),,관례;계례;성년의 날;아명;자;호;다른 나라 관례;초등학교 3학년 사회 다양한 삶의 모습들;초3 사회 다양한 삶의 모습들;초등학교 6학년 사회 세계 여러 지역의 자연과 문화;초6 ,,,,,https://www.edunet.net/contsMvGllry/view/152/3867,,2025-04-21,B550629,한국교육학술정보원
상례(喪禮),,상례;상복;시묘살이;선사시대 상례;고인돌;북방식;남방식;현대 상례 문화;화장;봉안당;수목장;잔디장;화초장;장례식;초등학교 3학년 사회 다양한 삶의 모습들;초3 사회 다양한 삶의 모,,,,,https://www.edunet.net/contsMvGllry/view/152/15180,,2025-04-21,B550629,한국교육학술정보원
우리나라의 전통 혼례,,"전통 혼례, 의혼, 대례, 후례",,,,,https://www.edunet.net/contsMvGllry/view/152/19746,,2025-04-21,B550629,한국교육학술정보원
혼례(冠禮,,혼례;전통혼례;결혼;전통혼례 모습;폐백;다른 나라 결혼식;초등학교 3학년 사회 다양한 삶의 모습들;초3 사회 다양한 삶의 모습들;초등학교 6학년 사회 세계 여러 지역의 자연과 문화,,,,,https://www.edunet.net/contsMvGllry/view/152/1998351,,2025-04-21,B550629,한국교육학술정보원
제례(祭禮),,제례;제사;차례;명절 제사상;고춧가루;고추장;산신제;풍어제;초등학교 3학년 사회 다양한 삶의 모습들;초3 사회 다양한 삶의 모습들;초등학교 6학년 사회 세계 여러 지역의 자연과 문,,,,,https://www.edunet.net/contsMvGllry/view/152/2012367,,2025-04-21,B550629,한국교육학술정보원
사법권의 독립,,사법권의 독립;사법;형법;사회질서 유지;조봉암 사건;사법권의 독립 보장;중학교 사회 헌법과 국가기관;고등학교 헌법의 기본원리;국가기관의 구성과 기능;법원과 헌법재판소,,,,,https://www.edunet.net/contsMvGllry/view/152/15034,,2025-04-21,B550629,한국교육학술정보원
